My dear countrymen, Namaskar. ||ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ନମସ୍କାର ।
Our armed forces have consistently displayed unparalleled courage and valour.||ଆମର ସଶସ୍ତ୍ର ବାହିନୀ ସବୁବେଳେ ଅଦ୍ୱିତୀୟ ସାହସ ଏବଂ ପରାକ୍ରମର ପରିଚୟ ଦେଇଆସିଛନ୍ତି ।
On the one hand, they have displayed exemplary capabilities in restoring peace||ଏକପକ୍ଷରେ ଶାନ୍ତି ପ୍ରତିଷ୍ଠା ପାଇଁ ସେମାନେ ଚମତ୍କାର କ୍ଷମତା ପ୍ରଦର୍ଶନ କରିଛନ୍ତି ।
on the other, they have retaliated in equal measure, in a language the attackers understand.||ଅପରପକ୍ଷରେ ଆକ୍ରମଣକାରୀଙ୍କୁ ମଧ୍ୟ ସେମାନେ ତାଙ୍କରି ଭାଷାରେ ଜବାବ ଦେଇଛନ୍ତି ।
You must have seen how within a hundred hours of the attack, retributive action was accomplished.||ଆପଣମାନେ ଲକ୍ଷ୍ୟ କରିଥିବେ ଯେ, ଆକ୍ରମଣର ଶହେ ଘଣ୍ଟା ମଧ୍ୟରେ ହିଁ କିଭଳି ପଦକ୍ଷେପମାନ ଗ୍ରହଣ କରାଯାଇଛି ।
The Army has resolved to wipe out terrorists and their harbourers.||ସେନାବାହିନୀ ଆତଙ୍କବାଦୀ ଏବଂ ସେମାନଙ୍କ ସହାୟକମାନଙ୍କୁ ସମୂଳେ ଧ୍ୱଂସ କରିବା ପାଇଁ ସଂକଳ୍ପ ଗ୍ରହଣ କରିସାରିଛନ୍ତି ।
The martyrdom of these brave soldiers brought to the fore, through the media, touching, inspiring stories of their kin, which give hope and strength to the entire country.||ବୀର ସୈନିକମାନଙ୍କ ବଳିଦାନ ପରେ ଗଣମାଧ୍ୟମ ଜରିଆରେ ସେମାନଙ୍କ ପରିବାରଜନଙ୍କ ଯେଉଁ ପ୍ରେରଣାଦାୟୀ କଥାସବୁ ସମ୍ମୁଖକୁ ଆସିଛି ତାହା ସାରା ଦେଶକୁ ସାହସ ଏବଂ ଶକ୍ତି ପ୍ରଦାନ କରିଛି ।
The fortitude displayed by Ram Niranjan ji, father of Martyr Ratan Thakur of Bhagalpur, Bihar, in this moment of tribulation is truly inspiring.||ବିହାର ଭାଗଲପୁରର ଶହୀଦ ରତନ ଠାକୁରଙ୍କ ପିତା ରାମନିରଞ୍ଜନଜୀ ଦୁଃଖର ଏହି ମୁହୂର୍ତ୍ତରେ ମଧ୍ୟ ଯେଉଁ ସାହସର ପରିଚୟ ଦେଇଛନ୍ତି ତାହା ଆମ ସମସ୍ତଙ୍କୁ ପ୍ରେରଣା ଦେଉଛି ।
He has expressed the wish of sending his second son too, to take on the enemy; if need be, he himself would go and fight.||ସେ କହିଛନ୍ତି ଯେ, ସେ ନିଜର ଅନ୍ୟ ପୁଅକୁ ମଧ୍ୟ ଶତ୍ରୁମାନଙ୍କ ବିରୁଦ୍ଧରେ ଲଢ଼ିବାକୁ ପଠେଇବେ ଏବଂ ଦରକାର ପଡ଼ିଲେ ନିଜେ ମଧ୍ୟ ଲଢ଼ିବାକୁ ଯିବେ ।
The country salutes the indomitable courage of Meena ji, wife of Martyr Prasanna Sahu of Jagatsinghpur, Odisha.||ଓଡ଼ିଶାର ଜଗତସିଂହପୁରର ଶହୀଦ ପ୍ରସନ୍ନ ସାହୁଙ୍କ ପତ୍ନୀ ମୀନାଜୀଙ୍କ ଅଦମ୍ୟ ସାହସକୁ ମଧ୍ୟ ସାରା ଦେଶ ସଲାମ କରୁଛି ।
She has vowed to send her only son to join the CRPF.||ସେ,ନିଜର ଏକମାତ୍ର ପୁଅକୁ ମଧ୍ୟ ସିଆରପିଏଫରେ ଭର୍ତ୍ତି କରେଇବା ପାଇଁ ସଂକଳ୍ପ କରିନେଇଛନ୍ତି ।
When the mortal remains of Martyr Vijay Soren, draped in the tricolor reached Gumla, Jharkhand, his innocent son iterated that he too would join the armed forces.||ଯେତେବେଳେ ତ୍ରିରଙ୍ଗାରେ ଆଚ୍ଛାଦିତ ଶହୀଦ ବିଜୟ ସୋରେନଙ୍କ ମରଶରୀର ଝାଡ଼ଖଣ୍ଡର ଗୁମ୍ଲା ପହଂଚିଲା ସେତେବେଳେ ତାଙ୍କ ବାଳୁତ ପୁଅ ଏକଥା ହିଁ କହିଲା ଯେ, ସେ ମଧ୍ୟ ସେନାବାହିନୀରେ ଯୋଗଦେବ ।
The mettle of this innocent lad is a representative sample of the feelings of each & every child of the Nation today.||ଏହି କୋମଳମତି ବାଳକର ସାହସ ଆଜି ଭାରତବର୍ଷର ପ୍ରତ୍ୟେକ ବାଳକର ଭାବନାକୁ ପ୍ରକାଶ କରୁଛି ।
Similar sentiments are coming to the fore in the households of our brave heart martyrs.||ଏହିଭଳି ଭାବନା ଆମର ବୀର, ପରାକ୍ରମୀ ଶହୀଦମାନଙ୍କ ଘରେ ଘରେ ଦେଖିବାକୁ ମିଳୁଛି ।
No martyr, no family is an exception to that.||ଆମର ଜଣେ ହେଲେ ବୀର ଶହୀଦ ଏହାର ବ୍ୟତିକ୍ରମ ନୁହଁନ୍ତି କିମ୍ବା ତାଙ୍କର ପରିବାର ଏଥିରୁ ବାଦ ପଡ଼ିନି ।
Whether it be the family of Martyr Vijay Maurya of Devariya, the parents of Martyr Tilakraj of Kangra or the six year old son of Martyr Hemraj of Kota – the story of every family of martyrs is full of inspiration.||ଦେୱରିୟାର ଶହୀଦ ବିଜୟ ମୌର୍ଯ୍ୟଙ୍କ ପରିବାର ହେଉ, କାଙ୍ଗଡ଼ାର ଶହିଦ ତିଲକରାଜଙ୍କ ପିତା-ମାତା ହୁଅନ୍ତୁ କିମ୍ବା କୋଟାର ଶହିଦ ହେମରାଜଙ୍କ ଛଅବର୍ଷର ପୁଅ ହେଉ,ଶହୀଦଙ୍କ ପ୍ରତ୍ୟେକ ପରିବାରର କାହାଣୀ ପ୍ରେରଣାରେ ଭରିରହିଛି ।
I urge the young generation to know and understand the fortitude and the sentiment displayed by these families.||ମୁଁ ଯୁବପିଢ଼ିଙ୍କୁ ଅନୁରୋଧ କରୁଛି, ଏହି ପରିବାରଗୁଡ଼ିକ ଯେଉଁ ସାହସ ଦେଖାଇଛନ୍ତି, ଯେଉଁ ଭାବନା ପ୍ରକାଶ କରିଛନ୍ତି ତାହାକୁ ଜାଣନ୍ତୁ, ବୁଝିବାର ପ୍ରୟାସ କରନ୍ତୁ ।
To understand the virtues of patriotism, sacrifice and perseverance, one doesn’t need to revert to historical events.||ଦେଶଭକ୍ତି କ’ଣ, ତ୍ୟାଗ-ତପସ୍ୟା କ’ଣ – ଏହା ବୁଝିବା ପାଇଁ ଆମକୁ ଇତିହାସର ପୁରୁଣା ଘଟଣାଗୁଡ଼ିକ ଆଡ଼କୁ ଯିବାର ଆବଶ୍ୟକତା ପଡ଼ିବନି ।
These are but living examples before your eyes… these very examples are a source of inspiration for the future of a rising & glowing India.My dear countrymen, the rather long wait after Independence for a War Memorial is about to be over.||ଆମରି ଆଖି ଆଗରେ ଏମାନେ ଜୀବନ୍ତ ଉଦାହରଣ ଏବଂ ଏମାନେ ହିଁ ଉଜ୍ଜ୍ୱଳ ଭାରତର ଭବିଷ୍ୟତ ପାଇଁ ପ୍ରେରଣାର କାରଣ ।ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ସ୍ୱାଧୀନତା ପ୍ରାପ୍ତି ପରେ ଏତେ ଦୀର୍ଘ ସମୟ ପର୍ଯ୍ୟନ୍ତ ଆମ ସମସ୍ତଙ୍କୁ ଯେଉଁ ଯୁଦ୍ଧ ସ୍ମାରକୀର ପ୍ରତୀକ୍ଷା ଥିଲା ତାହାର ଏବେ ଅନ୍ତ ହେବାକୁ ଯାଉଛି ।
It is natural for our countrymen to be curious about it.||ଏହା ବିଷୟରେ ଦେଶବାସୀଙ୍କ ଜିଜ୍ଞାସା, ଉତ୍ସୁକତା ଖୁବ୍ ସ୍ୱାଭାବିକ ।
On the Narendra Modi App, Shri Onkar Shetty ji of Udupi, Karnataka has expressed his happiness on the completion of the National War Memorial.||NarendraModiAppରେ ଉଡୁପି, କର୍ଣ୍ଣାଟକର ଶ୍ରୀ ଓଁକାର ଶେଟ୍ଟିଜୀ ରାଷ୍ଟ୍ରୀୟ ଯୁଦ୍ଧ ସ୍ମାରକୀ ତିଆରି ହେବାକୁ ନେଇ ନିଜର ସନ୍ତୋଷ ବ୍ୟକ୍ତ କରିଛନ୍ତି ।
India not having a National War Memorial used to surprise me, pain me… a Memorial that would house the valour saga series of our brave soldiers who laid down their lives, safe guarding their nation’s security.||ଭାରତରେ କୌଣସି ରାଷ୍ଟ୍ରୀୟ ଯୁଦ୍ଧ ସ୍ମାରକୀ ନ ଥିବା ଯୋଗୁଁ ମୋତେ ଆଶ୍ଚର୍ଯ୍ୟ ଲାଗୁଥିଲା ଏବଂ କଷ୍ଟ ମଧ୍ୟ ହେଉଥିଲା ।
And I took a resolve that the country must have such a Memorial.We decided to erect the National War Memorial and I am contented to see it attaining completion in so little a time.||ଏଭଳି ଏକ ସ୍ମାରକୀ, ଯେଉଁଠି ଦେଶର ସୁରକ୍ଷା ପାଇଁ ନିଜର ପ୍ରାଣବଳି ଦେଉଥିବା ବୀର ଯବାନମାନଙ୍କ ବୀରତ୍ୱର କାହାଣୀକୁ ସାଇତି କରି ରଖାଯାଇପାରିବ, ସେଭଳି ଗୋଟିଏ ସ୍ମାରକୀ ଦେଶରେ ନିହାତି ରହିବା ଆବଶ୍ୟକ ବୋଲି ମୁଁ ନିଷ୍ପତ୍ତି ଗ୍ରହଣ କରିଛି ।ଆମେ ରାଷ୍ଟ୍ରୀୟ ଯୁଦ୍ଧ ସ୍ମାରକୀ ନିର୍ମାଣ ପାଇଁ ନିଷ୍ପତ୍ତି ଗ୍ରହଣ କଲୁ ଏବଂ ମୋତେ ଖୁସି ଲାଗୁଛି ଯେ, ଏହି ସ୍ମାରକୀ ଏତେ କମ୍ ସମୟ ମଧ୍ୟରେ ତିଆରି ହୋଇସାରିଛି ।
Tomorrow, that is on the 25th of February, crores of we Indians will dedicate this National Soldiers’ Memorial to our Armed Forces.||ଆସନ୍ତାକାଲି, ଅର୍ଥାତ ଫେବୃଆରୀ 25 ତାରିଖ ଦିନ ଆମେ କୋଟି କୋଟି ଦେଶବାସୀ ଏହି ରାଷ୍ଟ୍ରୀୟ ଯୁଦ୍ଧ ସ୍ମାରକୀ କୁ ଆମ ସୈନ୍ୟବାହିନୀକୁ ସମର୍ପିତ କରିବାକୁ ଯାଉଛୁ ।
On part of the nation, this will be a small step towards repaying a great debt.This new memorial has been instituted in the heart of Delhi, in close vicinity of India Gate and Amar Jawan Jyoti.||ଦେଶ ନିଜ ଋଣ ଶୁଝିବାର ଗୋଟିଏ ଛୋଟ ପ୍ରୟାସ କରିବ ।ଦିଲ୍ଲୀର କେନ୍ଦ୍ରସ୍ଥଳ ଅର୍ଥାତ୍ ସେହି ସ୍ଥାନ ଯେଉଁଠି ଇଣ୍ଡିଆ ଗେଟ୍ ଏବଂ ଅମର ଯବାନ ଜ୍ୟୋତି ରହିଛି ଠିକ୍ ଏହାରି ପାଖରେ ଏହି ନୂତନ ସ୍ମାରକୀର ନିର୍ମାଣ କରାଯାଇଛି ।
I do believe that for our countrymen a visit to the National War Memorial will be akin to a pilgrimage to a holy place.||ଦେଶବାସୀଙ୍କ ପାଇଁ ଜାତୀୟ ସୈନିକ ସ୍ମାରକୀକୁ ଯିବା କୌଣସି ତୀର୍ଥସ୍ଥାନକୁ ଯିବା ସହ ସମାନ ହେବ ବୋଲି ମୋର ବିଶ୍ୱାସ ।
The National Soldiers’ Memorial is a symbol of the nation’s gratitude to those men who made the supreme sacrifice after we gained Independence.||ଜାତୀୟ ସୈନିକ ସ୍ମାରକୀ ସ୍ୱାଧୀନତା ପରେ ସର୍ବୋଚ୍ଚ ବଳିଦାନ ଦେଇଥିବା ଯବାନମାନଙ୍କ ପ୍ରତି ରାଷ୍ଟ୍ରର କୃତଜ୍ଞତାର ପ୍ରତୀକ ।
The Memorial’s design symbolises the indomitable courage of our immortal soldiers.||ସ୍ମାରକୀର ଡିଜାଇନ ଆମର ଅମର ସୈନିକମାନଙ୍କ ଅଦମ୍ୟ ସାହସକୁ ପ୍ରଦର୍ଶିତ କରୁଛି ।
The concept of the National Soldiers’ Memorial is based on the notion of four concentric circles||ଜାତୀୟ ସୈନିକ ସ୍ମାରକୀର ରୂପରେଖ Four Concentric Circle, ଅର୍ଥାତ୍ ଚାରୋଟି ଚକ୍ର ଉପରେ କେନ୍ଦ୍ରିତ ।
It depicts the journey of a soldier from coming into being, culminating in his martyrdom.||ଯେଉଁଠି ଜଣେ ସୈନିକର ଜନ୍ମଠାରୁ ଆତ୍ମବଳିଦାନ ପର୍ଯ୍ୟନ୍ତର ଯାତ୍ରାର ଚିତ୍ରଣ ରହିଛି ।
The flame of the Amar Chakra symbolizes the immortality of the martyred soldier.||ଅମରଚକ୍ରର ଶିଖା-ଶହିଦ୍ ସୈନିକର ଅମରତ୍ୱର ପ୍ରତୀକ ।
The second circle, Veerta Chakra.||ଦ୍ୱିତୀୟ ଚକ୍ରଟି ବୀରତ୍ୱର ଚକ୍ର ।
It depicts the courage and bravery of our soldiers.||ଯାହା ସୈନିକମାନଙ୍କ ବୀରତ୍ୱ ଏବଂ ସାହସିକତାକୁ ପ୍ରଦର୍ଶିତ କରୁଛି ।
It is a gallery whose walls are inscribed with soldiers’ tales of valour.||ଏହା ଏପରି ଏକ ଗ୍ୟାଲେରୀ ଯେଉଁଠି କାନ୍ଥ ଉପରେ ସୈନିକମାନଙ୍କ ବୀରତ୍ୱର କାହାଣୀଗୁଡ଼ିକ ବର୍ଣ୍ଣନା କରାଯାଇଛି ।
This is followed by the Tyag Chakra.||ଏହାପରେ ରହିଛି ତ୍ୟାଗଚକ୍ର ।
This circle stands for the sacrifice of our soldiers.||ଏହି ଚକ୍ର ସୈନିକମାନଙ୍କ ବଳିଦାନକୁ ପ୍ରଦର୍ଶିତ କରୁଛି ।
This bears the names of soldiers who made the supreme sacrifice, in letters of gold.||ଏଥିରେ ଦେଶ ପାଇଁ ସର୍ବୋଚ୍ଚ ବଳିଦାନ ଦେଇଥିବା ସୈନିକମାନଙ୍କ ନାମ ସ୍ୱର୍ଣ୍ଣାକ୍ଷରରେ ଲିପିବଦ୍ଧ କରାଯାଇଛି ।
Following that is the Rakshak Chakra which depicts the spirit of security.||ଏହାପରେ ରହିଛି ରକ୍ଷକ ଚକ୍ର ଯାହା ସୁରକ୍ଷାକୁ ପ୍ରଦର୍ଶିତ କରୁଛି ।
This circle houses a row of dense trees.||ଏହି ଚକ୍ରରେ ଘନ ବୃକ୍ଷଲତାର ପଂକ୍ତି ରହିଛି ।
These trees represent soldiers and send a reassuring message to the country’s citizens that our soldiers vigilantly guard borders round the clock and that they, the citizens are safe.||ଏହି ବୃକ୍ଷଗୁଡ଼ିକ ସୈନିକମାନଙ୍କ ପ୍ରତୀକ ଏବଂ ଦେଶର ନାଗରିକମାନଙ୍କୁ ଭରସା ଦେଇ ଏହି ବାର୍ତ୍ତା ଦେଉଛନ୍ତି ଯେ, ପ୍ରତି ମୁହୂର୍ତ୍ତରେ ସୈନିକମାନେ ସୀମାରେ କର୍ତ୍ତବ୍ୟରତ ଏବଂ ଦେଶବାସୀ ସୁରକ୍ଷିତ ।
If you take a holistic view, the National Soldiers’ Memorial is sure to turn out to be a sacred site, where people will throng, to get information on our great martyrs, to express their gratitude, to conduct further research on them.||ମୋଟ ଉପରେ ଦେଖିବାକୁ ଗଲେ ରାଷ୍ଟ୍ରୀୟ ସୈନିକ ସ୍ମାରକୀର ପରିଚୟ ଗୋଟିଏ ଏଭଳି ସ୍ଥାନ ରୂପେ ହେବ ଯେଉଁଠି ଲୋକେ ଦେଶର ମହାନ ଶହୀଦମାନଙ୍କ ବିଷୟରେ ସୂଚନା ପ୍ରାପ୍ତ କରିବାକୁ, ନିଜର କୃତଜ୍ଞତା ଜଣାଇବାକୁ, ସେମାନଙ୍କ ଉପରେ ଗବେଷଣା କରିବାକୁ ଏଠାକୁ ଆସିବେ ।
This place stands testimony to a series of sacrifices of men who laid down their lives for the sake of their country, so that we could live, so that the country could be safe & secure, paving the way for development.||ଏଠାରେ ସେହି ବଳିଦାନୀମାନଙ୍କ କାହାଣୀ ରହିଛି ଯେଉଁମାନେ ଦେଶ ପାଇଁ ନିଜ ପ୍ରାଣବଳି ଦେଇଛନ୍ତି ଯାହାଦ୍ୱାରା ଆମେ ଜୀବିତ ରହିପାରିବା, ଦେଶ ସୁରକ୍ଷିତ ରହିପାରିବ ଏବଂ ପ୍ରଗତି କରିପାରିବ ।
One falls short of words in assessing the enormous contribution of our Armed Forces, Police and Para Military Forces in the strides of progress achieved by the country.||ଦେଶର ପ୍ରଗତିରେ ଆମ ସଶସ୍ତ୍ର ବାହିନୀ, ପୁଲିସ ଏବଂ ଅର୍ଦ୍ଧସାମରିକ ବାହିନୀର ମହାନ ଅବଦାନକୁ ଶବ୍ଦରେ ପ୍ରକାଶ କରିବା ସମ୍ଭବ ନୁହେଁ ।
In the month of October last year, I was blessed with the opportunity to dedicate the National Police Memorial to the nation.||ଗତବର୍ଷ ଅକ୍ଟୋବରରେ ମୋତେ ଜାତୀୟ ପୁଲିସ ମେମୋରିଆଲକୁ ମଧ୍ୟ ଦେଶ ପାଇଁ ଉତ୍ସର୍ଗ କରିବାର ସୌଭାଗ୍ୟ ମିଳିଥିଲା ।
That too echoed the same sentiment, and we believe that we should be ever grateful to those policemen & police women, who relentlessly ensure our safety & security.||ଏହା ମଧ୍ୟ ଆମର ସେହି ଚିନ୍ତାଧାରାର ପ୍ରତିବିମ୍ବ ଯେଉଁଥିରେ ଆମେ ବିଶ୍ୱାସ କରୁ ଯେ, ଦେଶ ସେହି ପୁରୁଷ ଏବଂ ମହିଳା ପୁଲିସକର୍ମୀଙ୍କ ପ୍ରତି କୃତଜ୍ଞତା ପ୍ରକାଶ କରିବା ଉଚିତ ଯେଉଁମାନେ ଅନବରତ ଭାବେ ଆମ ସୁରକ୍ଷା କାର୍ଯ୍ୟରେ ଲାଗିଥାନ୍ତି ।
I do hope that you will pay a visit to the National Soldiers’ Memorial and the National Police Memorial.||ଆପଣ ଜାତୀୟ ସୈନିକ ସ୍ମାରକୀ ଏବଂ ଜାତୀୟ ପୁଲିସସ୍ମାରକୀ ନିଶ୍ଚୟ ଦେଖିବାକୁ ଯିବେ ବୋଲି ମୁଁ ଆଶା କରୁଛି ।
Whenever you are there, do capture images and share them on social media so that others get inspired to come & visit this sacred site with eagerness.My dear countrymen, for ‘Mann Ki Baat’, I keep getting thousands of letters and comments from your side, on various platforms.||ଆପଣ ସେଠାକୁ ଗଲେ, ସେଠାରେ ଉଠାଇଥିବା ନିଜର ଫଟୋଗୁଡ଼ିକୁ ସାମାଜିକ ଗଣମାଧ୍ୟମରେ  ନିଶ୍ଚୟ ବାଣ୍ଟିବେ, ଯାହାଫଳରେ ଅନ୍ୟମାନେ ମଧ୍ୟ ଏଥିରୁ ପ୍ରେରଣା ପାଇପାରିବେ ଏବଂ ସେମାନେ ମଧ୍ୟ ଏହି ପବିତ୍ର ସ୍ଥଳ, ଏହି ସ୍ମାରକୀଦେଖିବାକୁ ଉତ୍କଣ୍ଠିତ ହେବେ ।ମୋର ପ୍ରିୟ ଦେଶବାସୀଗଣ, ମନ କି ବାତ୍ ପାଇଁ ଆପଣମାନଙ୍କ ହଜାର ହଜାର ଚିଠି ଏବଂ ମତାମତ ମୋତେ ବିଭିନ୍ନ ମାଧ୍ୟମରୁ ପଢ଼ିବାକୁ ମିଳିଥାଏ ।
Once while I was going through your comments, I came across an interesting point by Atish Mukhopadhyay ji.||ଏଥର ଯେତେବେଳେ ମୁଁ ଆପଣମାନଙ୍କ ମତାମତ ପଢ଼ୁଥିଲି ସେତେବେଳେ ଆତୀଶ ମୁଖୋପାଧ୍ୟାୟ ଜୀଙ୍କର ଗୋଟିଏ ଖୁବ୍ ରୋଚକ ମତାମତ ମୋ ଦୃଷ୍ଟିକୁ ଆସିଲା ।
He has written that on the 3rd of March, 1900, the British arrested Birsa Munda||ସେ ଲେଖିଛନ୍ତି ଯେ, 1900 ମସିହା ମାର୍ଚ୍ଚ 3 ତାରିଖରେ ଇଂରେଜମାନେ ବିର୍ସା ମୁଣ୍ଡାଙ୍କୁ ଗିରଫ କରିଥିଲେ ।
He was just 25 years old at that time.||ସେତେବେଳେ ତାଙ୍କ ବୟସ ମାତ୍ର 25 ବର୍ଷ ଥିଲା ।
Coincidentally, the 3rd of March is also the birth anniversary of Jamsetji Tata.||ସେହି ମାର୍ଚ୍ଚ 3 ତାରିଖ ଜାମଶେଦଜୀ ଟାଟାଙ୍କ ଜୟନ୍ତୀ ହୋଇଥିବା ଏକ ସଂଯୋଗ ।
He further states that despite both personalities hailing from diverse family backgrounds, they enriched the legacy and the history of Jharkhand.||ସେ ଆହୁରି ମଧ୍ୟ ଲେଖିଛନ୍ତି ଏହି ଦୁଇ ବ୍ୟକ୍ତିତ୍ୱ ସମ୍ପୂର୍ଣ୍ଣ ଭାବେ ଭିନ୍ନ ପାରିବାରିକ ପୃଷ୍ଠଭୂମିରୁ ଆସିଛନ୍ତି,  ଯିଏ ଝାଡ଼ଖଣ୍ଡର ଇତିହାସ ଓ ପରମ୍ପରାକୁ ସମୃଦ୍ଧ କରିଯାଇଛନ୍ତି ।
Paying tributes to Birsa Munda and Jamsetji Tata is, in a way, salutation to the glorious legacy and history of Jharkhand.||ମନ କି ବାତରେ ବିର୍ସା ମୁଣ୍ଡା ଏବଂ ଜାମଶେଦଜୀ ଟାଟାଙ୍କୁ ଶ୍ରଦ୍ଧାଞ୍ଜଳି ଦେବା ଏକ ପ୍ରକାର ଝାଡ଼ଖଣ୍ଡର ଗୌରବପୂର୍ଣ୍ଣ ଇତିହାସ ଏବଂ ପରମ୍ପରାକୁ ପ୍ରଣାମ କରିବା ସଦୃଶ ।
Atishji, I agree with you||ଆତୀଶଜୀ, ମୁଁ ଆପଣଙ୍କ ସହ ଏକମତ ।
These two distinguished personalities brought glory & honour not just to Jharkhand, but the entire country.||ଏହି ଦୁଇ ମହାନ ବ୍ୟକ୍ତି କେବଳ ଝାଡ଼ଖଣ୍ଡ ନୁହେଁ ସମଗ୍ର ଦେଶର ନାମ ଉଜ୍ଜ୍ୱଳ କରିଛନ୍ତି ।
The country is indeed grateful for their contribution.||ସାରା ଦେଶ ସେମାନଙ୍କ ଅବଦାନ ପାଇଁ ତାଙ୍କଠାରେ କୃତଜ୍ଞ ।
Today, if an inspiring personality is required for ably guiding our youth, it certainly is that of Bhagwan Birsa Munda.||ଆଜି ଯଦି ଆମର ଯୁବବର୍ଗଙ୍କୁ ମାର୍ଗଦର୍ଶନ ପାଇଁ କୌଣସି ପ୍ରେରଣାଦାୟୀ ବ୍ୟକ୍ତିତ୍ୱର ଆବଶ୍ୟକତା ରହିଛି ତା’ହେଲେ ସେ ହେଉଛନ୍ତି ଭଗବାନ ବିର୍ସା ମୁଣ୍ଡା ।
The British tree treacherously arrested him when he was asleep, in a covert manner.||ସେ ନିଦ୍ରାରତ ଥିବା ସମୟରେ ଇଂରେଜମାନେ ଲୁଚିରହି କୌଶଳକ୍ରମେ ତାଙ୍କୁ ଗିରଫ କରିଥିଲେ ।
